db_id,rows,thinking_evaluated,thinking_correct,thinking_accuracy,non_thinking_evaluated,non_thinking_correct,non_thinking_accuracy,thinking_accuracy_percent,non_thinking_accuracy_percent
world_1,120,120,62,0.5166666666666667,120,40,0.3333333333333333,51.67%,33.33%
car_1,92,92,31,0.33695652173913043,92,27,0.29347826086956524,33.70%,29.35%
cre_Doc_Template_Mgt,84,84,75,0.8928571428571429,84,49,0.5833333333333334,89.29%,58.33%
dog_kennels,82,82,55,0.6707317073170732,82,50,0.6097560975609756,67.07%,60.98%
flight_2,80,80,71,0.8875,80,67,0.8375,88.75%,83.75%
student_transcripts_tracking,78,78,54,0.6923076923076923,78,41,0.5256410256410257,69.23%,52.56%
wta_1,62,62,33,0.532258064516129,62,27,0.43548387096774194,53.23%,43.55%
tvshow,62,62,47,0.7580645161290323,62,44,0.7096774193548387,75.81%,70.97%
network_1,56,56,45,0.8035714285714286,56,42,0.75,80.36%,75.00%
concert_singer,45,45,31,0.6888888888888889,45,28,0.6222222222222222,68.89%,62.22%
pets_1,42,42,27,0.6428571428571429,42,26,0.6190476190476191,64.29%,61.90%
poker_player,40,40,40,1.0,40,31,0.775,100.00%,77.50%
orchestra,40,40,36,0.9,40,37,0.925,90.00%,92.50%
employee_hire_evaluation,38,38,32,0.8421052631578947,38,30,0.7894736842105263,84.21%,78.95%
singer,30,30,26,0.8666666666666667,30,24,0.8,86.67%,80.00%
course_teach,30,30,26,0.8666666666666667,30,21,0.7,86.67%,70.00%
museum_visit,18,18,15,0.8333333333333334,18,13,0.7222222222222222,83.33%,72.22%
battle_death,16,16,10,0.625,16,11,0.6875,62.50%,68.75%
voter_1,15,15,13,0.8666666666666667,15,11,0.7333333333333333,86.67%,73.33%
real_estate_properties,4,4,2,0.5,4,1,0.25,50.00%,25.00%
